buying,maint,doors,persons,lug_boot,safety,class
vhigh,vhigh,2,2,small,low,Bad
vhigh,vhigh,2,2,small,med,Bad
vhigh,vhigh,2,2,small,high,Bad
vhigh,vhigh,2,2,med,low,Bad
vhigh,vhigh,2,2,med,med,Bad
vhigh,vhigh,2,2,med,high,Bad
vhigh,vhigh,2,2,big,low,Bad
vhigh,vhigh,2,2,big,med,Bad
vhigh,vhigh,2,2,big,high,Bad
vhigh,vhigh,2,4,small,low,Bad
vhigh,vhigh,2,4,small,med,Bad
vhigh,vhigh,2,4,small,high,Bad
vhigh,vhigh,2,4,med,low,Bad
vhigh,vhigh,2,4,med,med,Bad
vhigh,vhigh,2,4,med,high,Bad
vhigh,vhigh,2,4,big,low,Bad
vhigh,vhigh,2,4,big,med,Bad
vhigh,vhigh,2,4,big,high,Bad
vhigh,vhigh,2,more,small,low,Bad
vhigh,vhigh,2,more,small,med,Bad
vhigh,vhigh,2,more,small,high,Bad
vhigh,vhigh,2,more,med,low,Bad
vhigh,vhigh,2,more,med,med,Bad
vhigh,vhigh,2,more,med,high,Bad
vhigh,vhigh,2,more,big,low,Bad
vhigh,vhigh,2,more,big,med,Bad
vhigh,vhigh,2,more,big,high,Bad
vhigh,vhigh,3,2,small,low,Bad
vhigh,vhigh,3,2,small,med,Bad
vhigh,vhigh,3,2,small,high,Bad
vhigh,vhigh,3,2,med,low,Bad
vhigh,vhigh,3,2,med,med,Bad
vhigh,vhigh,3,2,med,high,Bad
vhigh,vhigh,3,2,big,low,Bad
vhigh,vhigh,3,2,big,med,Bad
vhigh,vhigh,3,2,big,high,Bad
vhigh,vhigh,3,4,small,low,Bad
vhigh,vhigh,3,4,small,med,Bad
vhigh,vhigh,3,4,small,high,Bad
vhigh,vhigh,3,4,med,low,Bad
vhigh,vhigh,3,4,med,med,Bad
vhigh,vhigh,3,4,med,high,Bad
vhigh,vhigh,3,4,big,low,Bad
vhigh,vhigh,3,4,big,med,Bad
vhigh,vhigh,3,4,big,high,Bad
vhigh,vhigh,3,more,small,low,Bad
vhigh,vhigh,3,more,small,med,Bad
vhigh,vhigh,3,more,small,high,Bad
vhigh,vhigh,3,more,med,low,Bad
vhigh,vhigh,3,more,med,med,Bad
vhigh,vhigh,3,more,med,high,Bad
vhigh,vhigh,3,more,big,low,Bad
vhigh,vhigh,3,more,big,med,Bad
vhigh,vhigh,3,more,big,high,Bad
vhigh,vhigh,4,2,small,low,Bad
vhigh,vhigh,4,2,small,med,Bad
vhigh,vhigh,4,2,small,high,Bad
vhigh,vhigh,4,2,med,low,Bad
vhigh,vhigh,4,2,med,med,Bad
vhigh,vhigh,4,2,med,high,Bad
vhigh,vhigh,4,2,big,low,Bad
vhigh,vhigh,4,2,big,med,Bad
vhigh,vhigh,4,2,big,high,Bad
vhigh,vhigh,4,4,small,low,Bad
vhigh,vhigh,4,4,small,med,Bad
vhigh,vhigh,4,4,small,high,Bad
vhigh,vhigh,4,4,med,low,Bad
vhigh,vhigh,4,4,med,med,Bad
vhigh,vhigh,4,4,med,high,Bad
vhigh,vhigh,4,4,big,low,Bad
vhigh,vhigh,4,4,big,med,Bad
vhigh,vhigh,4,4,big,high,Bad
vhigh,vhigh,4,more,small,low,Bad
vhigh,vhigh,4,more,small,med,Bad
vhigh,vhigh,4,more,small,high,Bad
vhigh,vhigh,4,more,med,low,Bad
vhigh,vhigh,4,more,med,med,Bad
vhigh,vhigh,4,more,med,high,Bad
vhigh,vhigh,4,more,big,low,Bad
vhigh,vhigh,4,more,big,med,Bad
vhigh,vhigh,4,more,big,high,Bad
vhigh,vhigh,5more,2,small,low,Bad
vhigh,vhigh,5more,2,small,med,Bad
vhigh,vhigh,5more,2,small,high,Bad
vhigh,vhigh,5more,2,med,low,Bad
vhigh,vhigh,5more,2,med,med,Bad
vhigh,vhigh,5more,2,med,high,Bad
vhigh,vhigh,5more,2,big,low,Bad
vhigh,vhigh,5more,2,big,med,Bad
vhigh,vhigh,5more,2,big,high,Bad
vhigh,vhigh,5more,4,small,low,Bad
vhigh,vhigh,5more,4,small,med,Bad
vhigh,vhigh,5more,4,small,high,Bad
vhigh,vhigh,5more,4,med,low,Bad
vhigh,vhigh,5more,4,med,med,Bad
vhigh,vhigh,5more,4,med,high,Bad
vhigh,vhigh,5more,4,big,low,Bad
vhigh,vhigh,5more,4,big,med,Bad
vhigh,vhigh,5more,4,big,high,Bad
vhigh,vhigh,5more,more,small,low,Bad
vhigh,vhigh,5more,more,small,med,Bad
vhigh,vhigh,5more,more,small,high,Bad
vhigh,vhigh,5more,more,med,low,Bad
vhigh,vhigh,5more,more,med,med,Bad
vhigh,vhigh,5more,more,med,high,Bad
vhigh,vhigh,5more,more,big,low,Bad
vhigh,vhigh,5more,more,big,med,Bad
vhigh,vhigh,5more,more,big,high,Bad
vhigh,high,2,2,small,low,Bad
vhigh,high,2,2,small,med,Bad
vhigh,high,2,2,small,high,Bad
vhigh,high,2,2,med,low,Bad
vhigh,high,2,2,med,med,Bad
vhigh,high,2,2,med,high,Bad
vhigh,high,2,2,big,low,Bad
vhigh,high,2,2,big,med,Bad
vhigh,high,2,2,big,high,Bad
vhigh,high,2,4,small,low,Bad
vhigh,high,2,4,small,med,Bad
vhigh,high,2,4,small,high,Bad
vhigh,high,2,4,med,low,Bad
vhigh,high,2,4,med,med,Bad
vhigh,high,2,4,med,high,Bad
vhigh,high,2,4,big,low,Bad
vhigh,high,2,4,big,med,Bad
vhigh,high,2,4,big,high,Bad
vhigh,high,2,more,small,low,Bad
vhigh,high,2,more,small,med,Bad
vhigh,high,2,more,small,high,Bad
vhigh,high,2,more,med,low,Bad
vhigh,high,2,more,med,med,Bad
vhigh,high,2,more,med,high,Bad
vhigh,high,2,more,big,low,Bad
vhigh,high,2,more,big,med,Bad
vhigh,high,2,more,big,high,Bad
vhigh,high,3,2,small,low,Bad
vhigh,high,3,2,small,med,Bad
vhigh,high,3,2,small,high,Bad
vhigh,high,3,2,med,low,Bad
vhigh,high,3,2,med,med,Bad
vhigh,high,3,2,med,high,Bad
vhigh,high,3,2,big,low,Bad
vhigh,high,3,2,big,med,Bad
vhigh,high,3,2,big,high,Bad
vhigh,high,3,4,small,low,Bad
vhigh,high,3,4,small,med,Bad
vhigh,high,3,4,small,high,Bad
vhigh,high,3,4,med,low,Bad
vhigh,high,3,4,med,med,Bad
vhigh,high,3,4,med,high,Bad
vhigh,high,3,4,big,low,Bad
vhigh,high,3,4,big,med,Bad
vhigh,high,3,4,big,high,Bad
vhigh,high,3,more,small,low,Bad
vhigh,high,3,more,small,med,Bad
vhigh,high,3,more,small,high,Bad
vhigh,high,3,more,med,low,Bad
vhigh,high,3,more,med,med,Bad
vhigh,high,3,more,med,high,Bad
vhigh,high,3,more,big,low,Bad
vhigh,high,3,more,big,med,Bad
vhigh,high,3,more,big,high,Bad
vhigh,high,4,2,small,low,Bad
vhigh,high,4,2,small,med,Bad
vhigh,high,4,2,small,high,Bad
vhigh,high,4,2,med,low,Bad
vhigh,high,4,2,med,med,Bad
vhigh,high,4,2,med,high,Bad
vhigh,high,4,2,big,low,Bad
vhigh,high,4,2,big,med,Bad
vhigh,high,4,2,big,high,Bad
vhigh,high,4,4,small,low,Bad
vhigh,high,4,4,small,med,Bad
vhigh,high,4,4,small,high,Bad
vhigh,high,4,4,med,low,Bad
vhigh,high,4,4,med,med,Bad
vhigh,high,4,4,med,high,Bad
vhigh,high,4,4,big,low,Bad
vhigh,high,4,4,big,med,Bad
vhigh,high,4,4,big,high,Bad
vhigh,high,4,more,small,low,Bad
vhigh,high,4,more,small,med,Bad
vhigh,high,4,more,small,high,Bad
vhigh,high,4,more,med,low,Bad
vhigh,high,4,more,med,med,Bad
vhigh,high,4,more,med,high,Bad
vhigh,high,4,more,big,low,Bad
vhigh,high,4,more,big,med,Bad
vhigh,high,4,more,big,high,Bad
vhigh,high,5more,2,small,low,Bad
vhigh,high,5more,2,small,med,Bad
vhigh,high,5more,2,small,high,Bad
vhigh,high,5more,2,med,low,Bad
vhigh,high,5more,2,med,med,Bad
vhigh,high,5more,2,med,high,Bad
vhigh,high,5more,2,big,low,Bad
vhigh,high,5more,2,big,med,Bad
vhigh,high,5more,2,big,high,Bad
vhigh,high,5more,4,small,low,Bad
vhigh,high,5more,4,small,med,Bad
vhigh,high,5more,4,small,high,Bad
vhigh,high,5more,4,med,low,Bad
vhigh,high,5more,4,med,med,Bad
vhigh,high,5more,4,med,high,Bad
vhigh,high,5more,4,big,low,Bad
vhigh,high,5more,4,big,med,Bad
vhigh,high,5more,4,big,high,Bad
vhigh,high,5more,more,small,low,Bad
vhigh,high,5more,more,small,med,Bad
vhigh,high,5more,more,small,high,Bad
vhigh,high,5more,more,med,low,Bad
vhigh,high,5more,more,med,med,Bad
vhigh,high,5more,more,med,high,Bad
vhigh,high,5more,more,big,low,Bad
vhigh,high,5more,more,big,med,Bad
vhigh,high,5more,more,big,high,Bad
vhigh,med,2,2,small,low,Bad
vhigh,med,2,2,small,med,Bad
vhigh,med,2,2,small,high,Bad
vhigh,med,2,2,med,low,Bad
vhigh,med,2,2,med,med,Bad
vhigh,med,2,2,med,high,Bad
vhigh,med,2,2,big,low,Bad
vhigh,med,2,2,big,med,Bad
vhigh,med,2,2,big,high,Bad
vhigh,med,2,4,small,low,Bad
vhigh,med,2,4,small,med,Bad
vhigh,med,2,4,small,high,Good
vhigh,med,2,4,med,low,Bad
vhigh,med,2,4,med,med,Bad
vhigh,med,2,4,med,high,Good
vhigh,med,2,4,big,low,Bad
vhigh,med,2,4,big,med,Good
vhigh,med,2,4,big,high,Good
vhigh,med,2,more,small,low,Bad
vhigh,med,2,more,small,med,Bad
vhigh,med,2,more,small,high,Bad
vhigh,med,2,more,med,low,Bad
vhigh,med,2,more,med,med,Bad
vhigh,med,2,more,med,high,Good
vhigh,med,2,more,big,low,Bad
vhigh,med,2,more,big,med,Good
vhigh,med,2,more,big,high,Good
vhigh,med,3,2,small,low,Bad
vhigh,med,3,2,small,med,Bad
vhigh,med,3,2,small,high,Bad
vhigh,med,3,2,med,low,Bad
vhigh,med,3,2,med,med,Bad
vhigh,med,3,2,med,high,Bad
vhigh,med,3,2,big,low,Bad
vhigh,med,3,2,big,med,Bad
vhigh,med,3,2,big,high,Bad
vhigh,med,3,4,small,low,Bad
vhigh,med,3,4,small,med,Bad
vhigh,med,3,4,small,high,Good
vhigh,med,3,4,med,low,Bad
vhigh,med,3,4,med,med,Bad
vhigh,med,3,4,med,high,Good
vhigh,med,3,4,big,low,Bad
vhigh,med,3,4,big,med,Good
vhigh,med,3,4,big,high,Good
vhigh,med,3,more,small,low,Bad
vhigh,med,3,more,small,med,Bad
vhigh,med,3,more,small,high,Good
vhigh,med,3,more,med,low,Bad
vhigh,med,3,more,med,med,Good
vhigh,med,3,more,med,high,Good
vhigh,med,3,more,big,low,Bad
vhigh,med,3,more,big,med,Good
vhigh,med,3,more,big,high,Good
vhigh,med,4,2,small,low,Bad
vhigh,med,4,2,small,med,Bad
vhigh,med,4,2,small,high,Bad
vhigh,med,4,2,med,low,Bad
vhigh,med,4,2,med,med,Bad
vhigh,med,4,2,med,high,Bad
vhigh,med,4,2,big,low,Bad
vhigh,med,4,2,big,med,Bad
vhigh,med,4,2,big,high,Bad
vhigh,med,4,4,small,low,Bad
vhigh,med,4,4,small,med,Bad
vhigh,med,4,4,small,high,Good
vhigh,med,4,4,med,low,Bad
vhigh,med,4,4,med,med,Good
vhigh,med,4,4,med,high,Good
vhigh,med,4,4,big,low,Bad
vhigh,med,4,4,big,med,Good
vhigh,med,4,4,big,high,Good
vhigh,med,4,more,small,low,Bad
vhigh,med,4,more,small,med,Bad
vhigh,med,4,more,small,high,Good
vhigh,med,4,more,med,low,Bad
vhigh,med,4,more,med,med,Good
vhigh,med,4,more,med,high,Good
vhigh,med,4,more,big,low,Bad
vhigh,med,4,more,big,med,Good
vhigh,med,4,more,big,high,Good
vhigh,med,5more,2,small,low,Bad
vhigh,med,5more,2,small,med,Bad
vhigh,med,5more,2,small,high,Bad
vhigh,med,5more,2,med,low,Bad
vhigh,med,5more,2,med,med,Bad
vhigh,med,5more,2,med,high,Bad
vhigh,med,5more,2,big,low,Bad
vhigh,med,5more,2,big,med,Bad
vhigh,med,5more,2,big,high,Bad
vhigh,med,5more,4,small,low,Bad
vhigh,med,5more,4,small,med,Bad
vhigh,med,5more,4,small,high,Good
vhigh,med,5more,4,med,low,Bad
vhigh,med,5more,4,med,med,Good
vhigh,med,5more,4,med,high,Good
vhigh,med,5more,4,big,low,Bad
vhigh,med,5more,4,big,med,Good
vhigh,med,5more,4,big,high,Good
vhigh,med,5more,more,small,low,Bad
vhigh,med,5more,more,small,med,Bad
vhigh,med,5more,more,small,high,Good
vhigh,med,5more,more,med,low,Bad
vhigh,med,5more,more,med,med,Good
vhigh,med,5more,more,med,high,Good
vhigh,med,5more,more,big,low,Bad
vhigh,med,5more,more,big,med,Good
vhigh,med,5more,more,big,high,Good
vhigh,low,2,2,small,low,Bad
vhigh,low,2,2,small,med,Bad
vhigh,low,2,2,small,high,Bad
vhigh,low,2,2,med,low,Bad
vhigh,low,2,2,med,med,Bad
vhigh,low,2,2,med,high,Bad
vhigh,low,2,2,big,low,Bad
vhigh,low,2,2,big,med,Bad
vhigh,low,2,2,big,high,Bad
vhigh,low,2,4,small,low,Bad
