,buying,maint,doors,persons,lug_boot,safety,result
118,3,0,0,1,2,2,0
658,0,2,0,1,2,2,0
104,3,3,3,2,1,0,0
960,2,3,3,1,0,1,0
482,0,3,1,2,1,0,0
1004,2,0,1,0,1,0,0
624,0,0,3,0,1,1,0
221,3,2,0,0,1,0,0
339,3,1,0,1,0,1,0
964,2,3,3,2,2,2,0
1108,2,2,1,0,2,2,0
729,0,2,3,0,2,1,0
1656,1,1,1,1,2,1,0
1111,2,2,1,0,1,2,0
1378,1,3,3,0,2,2,0
491,0,3,2,0,1,0,0
1650,1,1,1,0,1,1,0
813,0,1,2,0,1,1,0
255,3,2,1,1,1,1,0
205,3,0,3,1,0,2,0
979,2,0,0,0,0,2,0
270,3,2,2,0,2,1,0
1482,1,0,2,2,0,1,0
1165,2,2,3,0,1,2,0
1006,2,0,1,0,0,2,0
380,3,1,2,0,2,0,0
109,3,0,0,0,2,2,0
1109,2,2,1,0,2,0,0
40,3,3,1,1,1,2,0
1138,2,2,2,0,1,2,0
1274,2,1,3,0,1,0,0
1243,2,1,2,0,2,2,0
1271,2,1,3,0,2,0,0
1536,1,2,0,2,0,1,0
1494,1,0,3,1,2,1,0
89,3,3,3,0,0,0,0
606,0,0,2,1,1,1,0
28,3,3,1,0,2,2,0
815,0,1,2,0,1,0,0
792,0,1,1,1,2,1,0
1567,1,2,2,0,2,2,0
1355,1,3,2,0,1,0,0
744,0,2,3,1,0,1,0
1141,2,2,2,0,0,2,0
492,0,3,2,0,0,1,0
735,0,2,3,0,0,1,0
145,3,0,1,1,2,2,0
1139,2,2,2,0,1,0,0
1239,2,1,1,2,0,1,0
1335,1,3,1,1,1,1,0
343,3,1,0,2,2,2,0
1546,1,2,1,0,0,2,0
1548,1,2,1,1,2,1,0
786,0,1,1,0,1,1,0
1083,2,2,0,0,1,1,0
811,0,1,2,0,2,2,0
1050,2,0,2,2,0,1,0
318,3,2,3,2,1,1,0
573,0,0,1,0,0,1,0
709,0,2,2,0,0,2,0
645,0,0,3,2,0,1,0
864,2,3,0,0,2,1,0
135,3,0,1,0,2,1,0
409,3,1,3,0,1,2,0
1485,1,0,3,0,2,1,0
402,3,1,2,2,0,1,0
187,3,0,2,2,0,2,0
1002,2,0,1,0,1,1,0
189,3,0,3,0,2,1,0
60,3,3,2,0,0,1,0
990,2,0,0,2,2,1,0
1195,2,1,0,0,0,2,0
784,0,1,1,0,2,2,0
1060,2,0,3,0,0,2,0
884,2,3,0,2,2,0,0
30,3,3,1,0,1,1,0
1122,2,2,1,1,0,1,0
1423,1,0,0,2,2,2,0
1395,1,3,3,2,2,1,0
4,3,3,0,0,1,2,0
683,0,2,1,0,0,0,0
141,3,0,1,0,0,1,0
1356,1,3,2,0,0,1,0
208,3,0,3,2,2,2,0
413,3,1,3,0,0,0,0
1398,1,3,3,2,1,1,0
1110,2,2,1,0,1,1,0
1443,1,0,1,1,1,1,0
1597,1,2,3,0,1,2,0
408,3,1,3,0,1,1,0
480,0,3,1,2,1,1,0
477,0,3,1,2,2,1,0
285,3,2,2,1,0,1,0
1266,2,1,2,2,0,1,0
1578,1,2,2,1,1,1,0
360,3,1,1,1,2,1,0
1476,1,0,2,2,2,1,0
49,3,3,1,2,1,2,0
1384,1,3,3,0,0,2,0
550,0,0,0,1,2,2,0
569,0,0,1,0,2,0,0
1385,1,3,3,0,0,0,0
1382,1,3,3,0,1,0,0
1512,1,2,0,0,2,1,0
435,0,3,0,0,1,1,0
71,3,3,2,1,0,0,0
1532,1,2,0,2,2,0,0
164,3,0,2,0,2,0,0
568,0,0,1,0,2,2,0
785,0,1,1,0,2,0,0
790,0,1,1,0,0,2,0
65,3,3,2,1,2,0,0
1437,1,0,1,0,0,1,0
1703,1,1,3,0,2,0,0
1377,1,3,3,0,2,1,0
1296,1,3,0,0,2,1,0
867,2,3,0,0,1,1,0
62,3,3,2,0,0,0,0
446,0,3,0,1,1,0,0
1176,2,2,3,1,0,1,0
454,0,3,0,2,1,2,0
950,2,3,3,0,1,0,0
321,3,2,3,2,0,1,0
1054,2,0,3,0,2,2,0
1440,1,0,1,1,2,1,0
1026,2,0,2,0,2,1,0
651,0,2,0,0,1,1,0
1169,2,2,3,0,0,0,0
458,0,3,0,2,0,0,0
1173,2,2,3,1,1,1,0
1063,2,0,3,1,2,2,0
1574,1,2,2,0,0,0,0
1152,2,2,2,2,2,1,0
1466,1,0,2,0,0,0,0
1449,1,0,1,2,2,1,0
1716,1,1,3,1,0,1,0
93,3,3,3,1,1,1,0
1089,2,2,0,1,2,1,0
1029,2,0,2,0,1,1,0
652,0,2,0,0,1,2,0
146,3,0,1,1,2,0,0
203,3,0,3,1,1,0,0
529,0,3,3,1,0,2,0
561,0,0,0,2,1,1,0
36,3,3,1,1,2,1,0
10,3,3,0,1,2,2,0
264,3,2,1,2,1,1,0
1333,1,3,1,1,2,2,0
618,0,0,2,2,0,1,0
1433,1,0,1,0,2,0,0
828,0,1,2,2,2,1,0
1358,1,3,2,0,0,0,0
396,3,1,2,2,2,1,0
150,3,0,1,1,0,1,0
761,0,1,0,0,1,0,0
1249,2,1,2,0,0,2,0
680,0,2,1,0,1,0,0
1332,1,3,1,1,2,1,0
1374,1,3,2,2,0,1,0
136,3,0,1,0,2,2,0
352,3,1,1,0,2,2,0
1081,2,2,0,0,2,2,0
702,0,2,2,0,2,1,0
1197,2,1,0,1,2,1,0
390,3,1,2,1,1,1,0
600,0,0,2,0,0,1,0
152,3,0,1,1,0,0,0
1601,1,2,3,0,0,0,0
357,3,1,1,0,0,1,0
17,3,3,0,1,0,0,0
734,0,2,3,0,1,0,0
1722,1,1,3,2,1,1,0
798,0,1,1,1,0,1,0
85,3,3,3,0,1,2,0
252,3,2,1,1,2,1,0
387,3,1,2,1,2,1,0
776,0,1,0,2,2,0,0
248,3,2,1,0,1,0,0
1706,1,1,3,0,1,0,0
1193,2,1,0,0,1,0,0
562,0,0,0,2,1,2,0
129,3,0,0,2,1,1,0
1617,1,2,3,2,0,1,0
1411,1,0,0,0,0,2,0
1360,1,3,2,1,2,2,0
103,3,3,3,2,1,2,0
68,3,3,2,1,1,0,0
106,3,3,3,2,0,2,0
424,3,1,3,2,2,2,0
838,0,1,3,0,2,2,0
11,3,3,0,1,2,0,0
298,3,2,3,0,2,2,0
1570,1,2,2,0,1,2,0
399,3,1,2,2,1,1,0
846,0,1,3,1,2,1,0
987,2,0,0,1,0,1,0
591,0,0,1,2,0,1,0
866,2,3,0,0,2,0,0
460,0,3,1,0,2,2,0
1641,1,1,0,2,1,1,0
366,3,1,1,1,0,1,0
1675,1,1,2,0,2,2,0
1497,1,0,3,1,1,1,0
775,0,1,0,2,2,2,0
996,2,0,0,2,0,1,0
948,2,3,3,0,1,1,0
280,3,2,2,1,2,2,0
1539,1,2,1,0,2,1,0
6,3,3,0,0,0,1,0
1101,2,2,0,2,1,1,0
110,3,0,0,0,2,0,0
594,0,0,2,0,2,1,0
672,0,2,0,2,0,1,0
936,2,3,2,2,2,1,0
22,3,3,0,2,1,2,0
1409,1,0,0,0,1,0,0
831,0,1,2,2,1,1,0
937,2,3,2,2,2,2,0
1092,2,2,0,1,1,1,0
976,2,0,0,0,1,2,0
41,3,3,1,1,1,0,0
720,0,2,2,2,2,1,0
626,0,0,3,0,1,0,0
127,3,0,0,2,2,2,0
879,2,3,0,1,0,1,0
31,3,3,1,0,1,2,0
204,3,0,3,1,0,1,0
476,0,3,1,1,0,0,0
834,0,1,2,2,0,1,0
738,0,2,3,1,2,1,0
138,3,0,1,0,1,1,0
861,0,1,3,2,0,1,0
733,0,2,3,0,1,2,0
1659,1,1,1,1,1,1,0
676,0,2,1,0,2,2,0
63,3,3,2,1,2,1,0
636,0,0,3,1,0,1,0
1162,2,2,3,0,2,2,0
1125,2,2,1,2,2,1,0
471,0,3,1,1,1,1,0
522,0,3,3,1,2,1,0
1350,1,3,2,0,2,1,0
410,3,1,3,0,1,0,0
585,0,0,1,2,2,1,0
1033,2,0,2,0,0,2,0
299,3,2,3,0,2,0,0
177,3,0,2,1,0,1,0
1297,1,3,0,0,2,2,0
819,0,1,2,1,2,1,0
533,0,3,3,2,2,0,0
1569,1,2,2,0,1,1,0
663,0,2,0,1,0,1,0
653,0,2,0,0,1,0,0
780,0,1,0,2,0,1,0
1446,1,0,1,1,0,1,0
656,0,2,0,0,0,0,0
243,3,2,1,0,2,1,0
498,0,3,2,1,1,1,0
1200,2,1,0,1,1,1,0
479,0,3,1,2,2,0,0
378,3,1,2,0,2,1,0
43,3,3,1,1,0,2,0
262,3,2,1,2,2,2,0
76,3,3,2,2,1,2,0
574,0,0,1,0,0,2,0
648,0,2,0,0,2,1,0
570,0,0,1,0,1,1,0
438,0,3,0,0,0,1,0
1463,1,0,2,0,1,0,0
900,2,3,1,1,2,1,0
845,0,1,3,0,0,0,0
73,3,3,2,2,2,2,0
372,3,1,1,2,1,1,0
1380,1,3,3,0,1,1,0
346,3,1,0,2,1,2,0
198,3,0,3,1,2,1,0
1163,2,2,3,0,2,0,0
681,0,2,1,0,0,1,0
1460,1,0,2,0,2,0,0
35,3,3,1,0,0,0,0
1114,2,2,1,0,0,2,0
1035,2,0,2,1,2,1,0
1608,1,2,3,1,0,1,0
278,3,2,2,0,0,0,0
125,3,0,0,1,0,0,0
774,0,1,0,2,2,1,0
194,3,0,3,0,1,0,0
486,0,3,2,0,2,1,0
1686,1,1,2,1,1,1,0
3,3,3,0,0,1,1,0
383,3,1,2,0,1,0,0
924,2,3,2,0,0,1,0
332,3,1,0,0,0,0,0
1513,1,2,0,0,2,2,0
1342,1,3,1,2,2,2,0
955,2,3,3,1,2,2,0
1459,1,0,2,0,2,2,0
1131,2,2,1,2,0,1,0
79,3,3,2,2,0,2,0
1676,1,1,2,0,2,0,0
777,0,1,0,2,1,1,0
1568,1,2,2,0,2,0,0
1416,1,0,0,1,1,1,0
704,0,2,2,0,2,0,0
1628,1,1,0,0,0,0,0
1648,1,1,1,0,2,2,0
1324,1,3,1,0,2,2,0
1293,2,1,3,2,0,1,0
1347,1,3,1,2,0,1,0
1677,1,1,2,0,1,1,0
1563,1,2,1,2,0,1,0
99,3,3,3,2,2,1,0
1303,1,3,0,0,0,2,0
182,3,0,2,2,2,0,0
216,3,2,0,0,2,1,0
82,3,3,3,0,2,2,0
364,3,1,1,1,1,2,0
1689,1,1,2,1,0,1,0
1221,2,1,1,0,0,1,0
992,2,0,0,2,2,0,0
447,0,3,0,1,0,1,0
535,0,3,3,2,1,2,0
999,2,0,1,0,2,1,0
1405,1,0,0,0,2,2,0
484,0,3,1,2,0,2,0
1707,1,1,3,0,0,1,0
939,2,3,2,2,1,1,0
426,3,1,3,2,1,1,0
1701,1,1,3,0,2,1,0
1272,2,1,3,0,1,1,0
52,3,3,1,2,0,2,0
119,3,0,0,1,2,0,0
509,0,3,2,2,1,0,0
240,3,2,0,2,0,1,0
1209,2,1,0,2,1,1,0
886,2,3,0,2,1,2,0
945,2,3,3,0,2,1,0
1336,1,3,1,1,1,2,0
1135,2,2,2,0,2,2,0
1407,1,0,0,0,1,1,0
55,3,3,2,0,2,2,0
1594,1,2,3,0,2,2,0
80,3,3,2,2,0,0,0
16,3,3,0,1,0,2,0
47,3,3,1,2,2,0,0
1326,1,3,1,0,1,1,0
548,0,0,0,0,0,0,0
572,0,0,1,0,1,0,0
912,2,3,1,2,1,1,0
345,3,1,0,2,1,1,0
455,0,3,0,2,1,0,0
753,0,2,3,2,0,1,0
1557,1,2,1,2,2,1,0
952,2,3,3,0,0,2,0
504,0,3,2,2,2,1,0
155,3,0,1,2,2,0,0
1038,2,0,2,1,1,1,0
1284,2,1,3,1,0,1,0
915,2,3,1,2,0,1,0
149,3,0,1,1,1,0,0
640,0,0,3,2,2,2,0
1639,1,1,0,2,2,2,0
596,0,0,2,0,2,0,0
1622,1,1,0,0,2,0,0
1704,1,1,3,0,1,1,0
741,0,2,3,1,1,1,0
18,3,3,0,2,2,1,0
9,3,3,0,1,2,1,0
1227,2,1,1,1,1,1,0
316,3,2,3,2,2,2,0
1325,1,3,1,0,2,0,0
1623,1,1,0,0,1,1,0
1031,2,0,2,0,1,0,0
1077,2,0,3,2,0,1,0
1651,1,1,1,0,1,2,0
375,3,1,1,2,0,1,0
181,3,0,2,2,2,2,0
423,3,1,3,2,2,1,0
717,0,2,2,1,0,1,0
386,3,1,2,0,0,0,0
726,0,2,2,2,0,1,0
901,2,3,1,1,2,2,0
186,3,0,2,2,0,1,0
1506,1,0,3,2,1,1,0
839,0,1,3,0,2,0,0
1298,1,3,0,0,2,0,0
1020,2,0,1,2,1,1,0
178,3,0,2,1,0,2,0
170,3,0,2,0,0,0,0
1351,1,3,2,0,2,2,0
1182,2,2,3,2,1,1,0
650,0,2,0,0,2,0,0
984,2,0,0,1,1,1,0
291,3,2,2,2,1,1,0
690,0,2,1,1,0,1,0
116,3,0,0,0,0,0,0
1034,2,0,2,0,0,0,0
736,0,2,3,0,0,2,0
1219,2,1,1,0,1,2,0
1140,2,2,2,0,0,1,0
1215,2,1,1,0,2,1,0
303,3,2,3,0,0,1,0
1087,2,2,0,0,0,2,0
739,0,2,3,1,2,2,0
1287,2,1,3,2,2,1,0
444,0,3,0,1,1,1,0
837,0,1,3,0,2,1,0
513,0,3,3,0,2,1,0
54,3,3,2,0,2,1,0
764,0,1,0,0,0,0,0
612,0,0,2,2,2,1,0
582,0,0,1,1,0,1,0
1436,1,0,1,0,1,0,0
276,3,2,2,0,0,1,0
307,3,2,3,1,2,2,0
228,3,2,0,1,1,1,0
1412,1,0,0,0,0,0,0
516,0,3,3,0,1,1,0
1408,1,0,0,0,1,2,0
1386,1,3,3,1,2,1,0
661,0,2,0,1,1,2,0
649,0,2,0,0,2,2,0
598,0,0,2,0,1,2,0
1709,1,1,3,0,0,0,0
731,0,2,3,0,2,0,0
1207,2,1,0,2,2,2,0
167,3,0,2,0,1,0,0
21,3,3,0,2,1,1,0
15,3,3,0,1,0,1,0
1072,2,0,3,2,2,2,0
1681,1,1,2,0,0,2,0
555,0,0,0,1,0,1,0
207,3,0,3,2,2,1,0
81,3,3,3,0,2,1,0
134,3,0,0,2,0,0,0
246,3,2,1,0,1,1,0
25,3,3,0,2,0,2,0
985,2,0,0,1,1,2,0
627,0,0,3,0,0,1,0
1662,1,1,1,1,0,1,0
1224,2,1,1,1,2,1,0
1719,1,1,3,2,2,1,0
1220,2,1,1,0,1,0,0
577,0,0,1,1,2,2,0
77,3,3,2,2,1,0,0
1236,2,1,1,2,1,1,0
1044,2,0,2,2,2,1,0
120,3,0,0,1,1,1,0
351,3,1,1,0,2,1,0
810,0,1,2,0,2,1,0
497,0,3,2,1,2,0,0
472,0,3,1,1,1,2,0
547,0,0,0,0,0,2,0
1344,1,3,1,2,1,1,0
161,3,0,1,2,0,0,0
1521,1,2,0,1,2,1,0
1328,1,3,1,0,1,0,0
1544,1,2,1,0,1,0,0
439,0,3,0,0,0,2,0
1149,2,2,2,1,0,1,0
759,0,1,0,0,1,1,0
1230,2,1,1,1,0,1,0
