,buying,maint,doors,persons,lug_boot,safety,result
1147,2,2,2,1,1,2,1
740,0,2,3,1,2,0,1
608,0,0,2,1,1,0,1
1468,1,0,2,1,2,2,1
1391,1,3,3,1,1,0,1
1693,1,1,2,2,2,2,1
851,0,1,3,1,1,0,1
1684,1,1,2,1,2,2,1
794,0,1,1,1,2,0,1
1288,2,1,3,2,2,2,1
1504,1,0,3,2,2,2,1
1262,2,1,2,2,2,0,1
416,3,1,3,1,2,0,1
404,3,1,2,2,0,0,1
827,0,1,2,1,0,0,1
779,0,1,0,2,1,0,1
1579,1,2,2,1,1,2,1
944,2,3,2,2,0,0,1
1394,1,3,3,1,0,0,1
1021,2,0,1,2,1,2,1
1501,1,0,3,1,0,2,1
713,0,2,2,1,2,0,1
1321,1,3,0,2,0,2,1
1015,2,0,1,1,0,2,1
1043,2,0,2,1,0,0,1
782,0,1,0,2,0,0,1
1480,1,0,2,2,1,2,1
1562,1,2,1,2,1,0,1
800,0,1,1,1,0,0,1
1609,1,2,3,1,0,2,1
988,2,0,0,1,0,2,1
641,0,0,3,2,2,0,1
1727,1,1,3,2,0,0,1
287,3,2,2,1,0,0,1
1672,1,1,1,2,0,2,1
971,2,3,3,2,0,0,1
1279,2,1,3,1,2,2,1
1580,1,2,2,1,1,0,1
806,0,1,1,2,1,0,1
911,2,3,1,2,2,0,1
692,0,2,1,1,0,0,1
646,0,0,3,2,0,2,1
1228,2,1,1,1,1,2,1
673,0,2,0,2,0,2,1
1103,2,2,0,2,1,0,1
1564,1,2,1,2,0,2,1
1264,2,1,2,2,1,2,1
809,0,1,1,2,0,0,1
1253,2,1,2,1,2,0,1
749,0,2,3,2,2,0,1
1577,1,2,2,1,2,0,1
1720,1,1,3,2,2,2,1
1603,1,2,3,1,2,2,1
1205,2,1,0,1,0,0,1
614,0,0,2,2,2,0,1
314,3,2,3,1,0,0,1
578,0,0,1,1,2,0,1
905,2,3,1,1,1,0,1
1337,1,3,1,1,1,0,1
1232,2,1,1,1,0,0,1
887,2,3,0,2,1,0,1
1448,1,0,1,1,0,0,1
833,0,1,2,2,1,0,1
808,0,1,1,2,0,2,1
1469,1,0,2,1,2,0,1
