,Mcg,Gvh,Alm,Mit,Erl,Pox,Vac,Nuc,Class
0,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,negative
1,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,negative
2,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,negative
3,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,negative
4,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,negative
5,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22,negative
6,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,negative
7,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,negative
8,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,negative
9,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,negative
10,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29,negative
11,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,negative
12,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22,negative
13,0.66,0.55,0.45,0.19,0.5,0.0,0.46,0.22,negative
14,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,negative
15,0.58,0.47,0.54,0.11,0.5,0.0,0.51,0.26,negative
16,0.61,0.6,0.55,0.21,0.5,0.0,0.5,0.25,negative
17,0.45,0.4,0.5,0.16,0.5,0.0,0.5,0.22,negative
18,0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22,negative
19,0.73,0.63,0.42,0.3,0.5,0.0,0.49,0.22,negative
20,0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22,negative
21,0.46,0.53,0.52,0.15,0.5,0.0,0.58,0.22,negative
22,0.51,0.51,0.52,0.51,0.5,0.0,0.54,0.22,negative
23,0.59,0.45,0.53,0.19,0.5,0.0,0.59,0.27,negative
24,0.57,0.47,0.6,0.18,0.5,0.0,0.51,0.22,negative
25,0.63,0.67,0.57,0.24,0.5,0.0,0.49,0.22,negative
26,0.8,0.88,0.36,0.39,0.5,0.0,0.56,0.33,positive
27,0.53,0.54,0.43,0.1,0.5,0.0,0.57,0.32,negative
28,0.51,0.51,0.43,0.87,0.5,0.0,0.52,0.22,negative
29,0.38,0.61,0.61,0.12,0.5,0.0,0.53,0.47,negative
30,0.33,0.55,0.51,0.43,0.5,0.0,0.51,0.22,negative
31,0.78,0.74,0.42,0.26,0.5,0.0,0.43,0.22,positive
32,0.74,0.67,0.47,0.34,0.5,0.0,0.42,0.22,negative
33,0.4,0.45,0.57,0.18,0.5,0.0,0.56,0.26,negative
34,0.59,0.53,0.43,0.44,0.5,0.0,0.5,0.22,negative
35,0.57,0.53,0.53,0.34,0.5,0.0,0.53,0.22,negative
36,0.86,0.68,0.39,0.24,0.5,0.0,0.54,0.22,negative
37,0.86,0.74,0.51,0.4,0.5,0.0,0.55,0.22,negative
38,0.37,0.36,0.56,0.18,0.5,0.0,0.48,0.26,negative
39,0.53,0.31,0.58,0.39,0.5,0.0,0.47,0.37,negative
40,0.49,0.39,0.52,0.29,0.5,0.0,0.48,0.22,negative
41,0.74,0.57,0.51,0.28,0.5,0.0,0.58,0.22,negative
42,0.42,0.24,0.34,0.16,0.5,0.0,0.5,0.22,negative
43,0.48,0.39,0.51,0.21,0.5,0.0,0.52,0.28,negative
44,0.45,0.46,0.55,0.43,0.5,0.0,0.55,0.38,negative
45,0.56,0.48,0.58,0.27,0.5,0.0,0.51,0.22,negative
46,0.64,0.59,0.56,0.23,0.5,0.0,0.46,0.22,negative
47,0.66,0.62,0.49,0.1,0.5,0.0,0.49,0.22,negative
48,0.38,0.49,0.53,0.19,0.5,0.0,0.5,0.22,negative
49,0.45,0.58,0.48,0.67,0.5,0.0,0.52,0.22,negative
50,0.37,0.32,0.47,0.18,0.5,0.0,0.45,0.25,negative
51,0.41,0.46,0.59,0.19,0.5,0.0,0.58,0.27,negative
52,0.54,0.48,0.44,0.08,0.5,0.0,0.52,0.27,negative
53,0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,negative
54,0.34,0.46,0.57,0.09,0.5,0.0,0.55,0.22,negative
55,0.48,0.54,0.55,0.12,0.5,0.0,0.51,0.22,negative
56,0.47,0.39,0.59,0.15,0.5,0.0,0.57,0.22,negative
57,0.81,0.85,0.47,0.37,0.5,0.0,0.56,0.22,negative
58,0.48,0.42,0.52,0.24,0.5,0.0,0.56,0.22,negative
59,0.6,0.5,0.44,0.61,0.5,0.0,0.47,0.22,negative
60,0.45,0.55,0.54,0.66,0.5,0.0,0.47,0.22,negative
61,0.46,0.49,0.58,0.23,0.5,0.0,0.44,0.22,negative
62,0.49,0.42,0.56,0.55,0.5,0.0,0.42,0.25,negative
63,0.63,0.53,0.54,0.4,0.5,0.0,0.5,0.22,negative
64,0.5,0.54,0.53,0.54,0.5,0.0,0.51,0.27,negative
65,0.63,0.57,0.59,0.4,0.5,0.0,0.38,0.22,negative
66,0.48,0.45,0.55,0.5,0.5,0.0,0.53,0.22,negative
67,0.5,0.58,0.46,0.46,0.5,0.0,0.46,0.22,negative
68,0.51,0.54,0.6,0.57,0.5,0.0,0.58,0.22,negative
69,0.54,0.52,0.63,0.37,0.5,0.0,0.46,0.22,negative
70,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,negative
71,0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,negative
72,0.39,0.44,0.35,0.16,0.5,0.0,0.55,0.22,negative
73,0.8,0.63,0.45,0.29,0.5,0.0,0.51,0.22,negative
74,0.5,0.52,0.59,0.3,0.5,0.0,0.51,0.35,negative
75,0.4,0.45,0.56,0.2,0.5,0.0,0.45,0.22,negative
76,0.33,0.43,0.64,0.16,0.5,0.0,0.52,0.52,negative
77,0.49,0.61,0.49,0.25,0.5,0.0,0.5,0.28,negative
78,0.38,0.5,0.37,0.26,0.5,0.0,0.43,0.22,negative
79,0.69,0.7,0.52,0.36,0.5,0.0,0.46,0.22,negative
80,0.61,0.72,0.39,0.33,0.5,0.0,0.58,0.22,negative
81,0.78,0.75,0.4,0.28,0.5,0.0,0.53,0.22,negative
82,0.64,0.57,0.57,0.27,0.5,0.0,0.37,0.22,negative
83,0.36,0.58,0.35,0.24,0.5,0.0,0.44,0.22,negative
84,0.36,0.43,0.39,0.12,0.5,0.0,0.49,0.22,negative
85,0.47,0.52,0.5,0.4,0.5,0.0,0.41,0.22,negative
86,0.48,0.23,0.57,0.27,0.5,0.0,0.48,0.47,negative
87,0.47,0.39,0.55,0.24,0.5,0.0,0.47,0.22,negative
88,0.44,0.59,0.36,0.16,0.5,0.0,0.52,0.22,negative
89,0.42,0.35,0.54,0.18,0.5,0.0,0.56,0.22,negative
90,0.3,0.56,0.55,0.18,0.5,0.0,0.5,0.22,negative
91,0.65,0.65,0.52,0.16,0.5,0.0,0.6,0.22,negative
92,0.27,0.6,0.48,0.23,0.5,0.0,0.55,0.22,negative
93,0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,negative
94,0.44,0.52,0.41,0.23,0.5,0.0,0.51,0.22,negative
95,0.4,0.44,0.49,0.47,0.5,0.0,0.49,0.27,negative
96,0.59,0.67,0.56,0.41,0.5,0.0,0.47,0.22,negative
97,0.47,0.47,0.57,0.48,0.5,0.0,0.48,0.22,negative
98,0.35,0.52,0.48,0.22,0.5,0.0,0.26,0.22,negative
99,0.64,0.62,0.29,0.28,0.5,0.0,0.51,0.22,negative
100,0.55,0.53,0.55,0.46,0.5,0.0,0.52,0.22,negative
101,0.67,0.62,0.54,0.43,0.5,0.0,0.53,0.22,negative
102,0.59,0.6,0.49,0.43,0.5,0.0,0.53,0.31,negative
103,0.58,0.62,0.54,0.17,0.5,0.0,0.48,0.22,negative
104,0.4,0.38,0.53,0.16,0.5,0.0,0.52,0.27,negative
105,0.53,0.51,0.55,0.05,0.5,0.0,0.45,0.25,negative
106,0.41,0.4,0.59,0.47,0.5,0.0,0.48,0.43,negative
107,0.5,0.64,0.57,0.15,0.5,0.0,0.47,0.22,negative
108,0.4,0.62,0.52,0.31,0.5,0.0,0.49,0.31,negative
109,0.6,0.5,0.57,0.25,0.5,0.0,0.41,0.26,negative
110,0.35,0.58,0.54,0.16,0.5,0.0,0.51,0.22,negative
111,0.34,0.54,0.5,0.21,0.5,0.0,0.54,0.31,negative
112,0.39,0.58,0.5,0.26,0.5,0.0,0.54,0.59,negative
113,0.48,0.54,0.5,0.17,0.5,0.0,0.53,0.22,negative
