,Mcg,Gvh,Alm,Mit,Erl,Pox,Vac,Nuc,result
913,0.38,0.58,0.46,0.21,0.5,0.0,0.52,0.22,0
178,0.47,0.54,0.37,0.14,0.5,0.0,0.5,0.22,0
369,0.5,0.53,0.45,0.44,0.5,0.0,0.49,0.22,0
974,0.25,0.48,0.45,0.32,0.5,0.0,0.4,0.22,0
97,0.47,0.47,0.57,0.48,0.5,0.0,0.48,0.22,0
992,0.61,0.52,0.5,0.44,0.5,0.0,0.53,0.22,0
1347,0.45,0.47,0.53,0.15,0.5,0.0,0.52,0.27,0
1346,0.41,0.53,0.41,0.15,0.5,0.0,0.54,0.25,0
234,0.54,0.65,0.49,0.34,0.5,0.0,0.52,0.22,0
804,0.32,0.44,0.54,0.21,0.5,0.0,0.4,0.19,0
357,0.41,0.43,0.5,0.28,0.5,0.0,0.5,0.22,0
215,0.41,0.24,0.54,0.26,0.5,0.0,0.41,0.22,0
725,0.35,0.42,0.56,0.28,0.5,0.0,0.47,0.22,0
1259,0.4,0.48,0.5,0.17,0.5,0.0,0.54,0.5,0
524,0.44,0.53,0.53,0.37,0.5,0.0,0.51,0.22,0
200,0.55,0.42,0.34,0.3,0.5,0.0,0.52,0.22,0
896,0.55,0.4,0.62,0.22,0.5,0.0,0.37,0.28,0
118,0.43,0.57,0.53,0.16,0.5,0.0,0.54,0.22,0
673,0.32,0.48,0.49,0.17,0.5,0.0,0.47,0.22,0
1087,0.57,0.53,0.6,0.28,0.5,0.0,0.52,0.45,0
649,0.25,0.39,0.5,0.23,0.5,0.0,0.5,0.28,0
1388,0.35,0.39,0.56,0.2,0.5,0.0,0.49,0.41,0
1228,0.67,0.68,0.46,0.29,0.5,0.0,0.46,0.22,0
915,0.37,0.29,0.45,0.15,0.5,0.0,0.49,0.22,0
1027,0.42,0.45,0.75,0.21,0.5,0.0,0.48,0.22,0
740,0.5,0.36,0.64,0.37,0.5,0.0,0.37,0.33,0
312,0.4,0.34,0.52,0.17,0.5,0.0,0.47,0.51,0
169,0.5,0.4,0.56,0.7,0.5,0.0,0.5,0.22,0
1333,0.61,0.46,0.44,0.47,0.5,0.0,0.5,0.37,0
516,0.51,0.56,0.62,0.24,0.5,0.0,0.52,0.51,0
88,0.44,0.59,0.36,0.16,0.5,0.0,0.52,0.22,0
1360,0.5,0.62,0.52,0.3,0.5,0.0,0.56,0.22,0
1067,0.6,0.37,0.52,0.15,0.5,0.0,0.55,0.26,0
121,0.58,0.5,0.5,0.12,0.5,0.0,0.48,0.25,0
14,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,0
172,0.53,0.51,0.46,0.28,0.5,0.0,0.48,0.22,0
1083,0.45,0.51,0.43,0.22,0.5,0.0,0.57,0.22,0
884,0.19,0.16,0.68,0.36,0.5,0.0,0.49,0.21,0
71,0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,0
607,0.48,0.45,0.59,0.35,0.5,0.0,0.55,0.3,0
462,0.34,0.54,0.54,0.13,0.5,0.0,0.52,0.22,0
148,0.54,0.38,0.52,0.18,0.5,0.0,0.48,0.22,0
932,0.5,0.52,0.51,0.22,0.5,0.0,0.46,0.37,0
429,0.44,0.53,0.43,0.17,0.5,0.0,0.54,0.75,0
58,0.48,0.42,0.52,0.24,0.5,0.0,0.56,0.22,0
1310,0.55,0.5,0.6,0.31,0.5,0.0,0.46,0.27,0
689,0.6,0.59,0.47,0.47,0.5,0.0,0.53,0.22,0
813,0.57,0.48,0.54,0.22,0.5,0.0,0.5,0.11,0
404,0.38,0.49,0.54,1.0,0.5,0.0,0.5,0.27,0
1283,0.89,0.77,0.36,0.34,0.5,0.0,0.44,0.22,0
326,0.53,0.43,0.47,0.15,0.5,0.0,0.58,0.22,0
332,0.48,0.57,0.5,0.09,0.5,0.0,0.52,0.42,0
597,0.37,0.42,0.6,0.13,0.5,0.0,0.51,0.22,0
452,0.49,0.44,0.45,0.22,0.5,0.0,0.51,0.22,0
390,0.81,0.76,0.32,0.37,0.5,0.0,0.51,0.22,0
807,0.42,0.5,0.64,0.13,0.5,0.0,0.49,0.22,0
383,0.59,0.57,0.46,0.14,0.5,0.0,0.52,0.22,0
818,0.37,0.3,0.62,0.43,0.5,0.0,0.44,0.39,0
450,0.51,0.47,0.41,0.44,0.5,0.0,0.5,0.22,0
