,Mcg,Gvh,Alm,Mit,Erl,Pox,Vac,Nuc,result
863,0.85,0.69,0.34,0.31,0.5,0.0,0.57,0.3,1
406,0.84,0.87,0.45,0.54,0.5,0.0,0.28,0.22,1
154,0.75,0.7,0.38,0.27,0.5,0.0,0.49,0.22,1
825,0.77,0.86,0.44,0.27,0.5,0.0,0.48,0.22,1
26,0.8,0.88,0.36,0.39,0.5,0.0,0.56,0.33,1
957,0.88,0.72,0.32,0.3,0.5,0.0,0.52,0.33,1
271,0.84,0.66,0.36,0.78,0.5,0.0,0.49,0.5,1
1014,0.8,0.83,0.43,0.24,0.5,0.0,0.54,0.22,1
31,0.78,0.74,0.42,0.26,0.5,0.0,0.43,0.22,1
389,0.7,0.73,0.37,0.37,0.5,0.0,0.48,0.31,1
1123,0.75,0.73,0.35,0.33,0.5,0.0,0.49,0.28,1
1137,0.83,0.94,0.32,0.21,0.5,0.0,0.51,0.22,1
1282,0.67,0.63,0.34,0.41,0.5,0.0,0.6,0.33,1
397,0.7,0.73,0.38,0.36,0.5,0.0,0.54,0.22,1
1147,0.8,0.73,0.47,0.19,0.5,0.0,0.49,0.22,1
836,0.85,0.66,0.49,0.18,0.5,0.0,0.51,0.22,1
509,0.76,0.76,0.35,0.27,0.5,0.0,0.44,0.22,1
1478,0.85,0.85,0.3,0.31,0.5,0.0,0.55,0.42,1
1078,1.0,0.8,0.29,0.36,0.5,0.0,0.52,0.22,1
636,0.78,0.69,0.44,0.26,0.5,0.0,0.54,0.22,1
599,0.74,0.89,0.32,0.24,0.5,0.0,0.54,0.32,1
1080,0.69,0.66,0.36,0.09,0.5,0.0,0.56,0.22,1
264,0.91,0.77,0.34,0.47,0.5,0.0,0.52,0.31,1
532,0.81,0.79,0.32,0.37,0.5,0.0,0.41,0.22,1
1153,0.77,0.68,0.35,0.19,0.5,0.0,0.53,0.43,1
1163,0.77,0.74,0.37,0.29,0.5,0.0,0.45,0.22,1
1090,0.71,0.79,0.41,0.38,0.5,0.0,0.54,0.22,1
1239,0.78,0.7,0.32,0.23,0.5,0.0,0.53,0.22,1
981,0.78,0.73,0.27,0.28,0.5,0.0,0.56,0.22,1
381,0.89,0.81,0.36,0.71,0.5,0.0,0.55,0.63,1
344,0.85,0.85,0.3,0.31,0.5,0.0,0.55,0.42,1
1105,0.8,0.82,0.4,0.31,0.5,0.0,0.57,0.25,1
1441,0.79,0.79,0.42,0.26,0.5,0.0,0.6,0.22,1
1471,0.77,0.7,0.37,0.12,0.5,0.0,0.49,0.26,1
1409,0.77,0.82,0.4,0.36,0.5,0.0,0.38,0.22,1
1255,0.7,0.69,0.43,0.33,0.5,0.0,0.58,0.22,1
